country,sattype,satpurpose,satid
China,Military/Government,Navigation/Global Positioning,43001
China,Military/Government,Navigation/Global Positioning,44542
China,Military/Government,Navigation/Global Positioning,44543
China,Military/Government,Navigation/Global Positioning,43002
China,Military/Government,Navigation/Global Positioning,43107
China,Military/Government,Navigation/Global Positioning,43108
China,Military/Government,Navigation/Global Positioning,43207
China,Military/Government,Navigation/Global Positioning,43208
China,Military/Government,Navigation/Global Positioning,43246
China,Military/Government,Navigation/Global Positioning,43245
China,Military/Government,Navigation/Global Positioning,43539
China,Military/Government,Navigation/Global Positioning,43581
China,Military/Government,Navigation/Global Positioning,43582
China,Military/Government,Navigation/Global Positioning,43602
China,Military/Government,Navigation/Global Positioning,43603
China,Military/Government,Navigation/Global Positioning,43622
China,Military/Government,Navigation/Global Positioning,43623
China,Military/Government,Navigation/Global Positioning,43647
China,Military/Government,Navigation/Global Positioning,43648
China,Military/Government,Navigation/Global Positioning,43683
China,Military/Government,Navigation/Global Positioning,43706
China,Military/Government,Navigation/Global Positioning,43707
China,Military/Government,Navigation/Global Positioning,44204
China,Military/Government,Navigation/Global Positioning,44231
China,Military/Government,Navigation/Global Positioning,44337
China,Military/Government,Navigation/Global Positioning,44709
China,Military/Government,Navigation/Global Positioning,44793
China,Military/Government,Navigation/Global Positioning,44794
China,Military/Government,Navigation/Global Positioning,44864
China,Military/Government,Navigation/Global Positioning,44865
China,Military/Government,Navigation/Global Positioning,45807
China,Military/Government,Navigation/Global Positioning,45344
China,Military/Government,Navigation/Global Positioning,37210
China,Military/Government,Navigation/Global Positioning,38091
China,Military/Government,Navigation/Global Positioning,36828
China,Military/Government,Navigation/Global Positioning,37256
China,Military/Government,Navigation/Global Positioning,37384
China,Military/Government,Navigation/Global Positioning,37763
China,Military/Government,Navigation/Global Positioning,37948
China ,Commercial,Earth Observation,48840
China,Commercial,Earth Observation,28890
China,Commercial,Earth Observation,55257
Belarus,Government,Communications,41238
Germany,Government/Civil,Earth Observation/Technology Development,26959
Norway,Military,Earth Observation,55015
Germany,Government,Earth Observation,41604
USA,Civil,Earth Observation/Technology Development,40968
Belarus,Government,Earth Observation,38708
USA,Commercial,Earth Observation,43730
USA,Commercial,Earth Observation,49469
USA,Commercial,Earth Observation,49470
USA,Commercial,Earth Observation,49950
USA,Commercial,Earth Observation,49949
USA,Commercial,Earth Observation,52196
USA,Commercial,Earth Observation,55982
USA,Commercial,Earth Observation,43812
USA,Commercial,Earth Observation,52197
USA,Commercial,Earth Observation,44367
USA,Commercial,Earth Observation,44499
USA,Commercial,Earth Observation,55983
USA,Commercial,Earth Observation,46088
USA,Commercial,Earth Observation,46089
USA,Commercial,Earth Observation,47971
USA,Commercial,Earth Observation,41787
Russia,Military/Commercial,Communications,42907
Russia,Military/Commercial,Communications,43432
Russia,Military/Commercial,Communications,43867
Russia,Military/Commercial,Communications,44457
Lithuania,Commercial,Technology Development,44105
USA,Commercial,Communications,53808
Brazil,Commercial,Communications,26469
Netherlands,Government,Earth Observation,48876
USA,Commercial,Technology Development,43813
Indonesia,Commercial,Communications,41591
Canada,Civil,Space Science,40020
Multinational,Government,Space Science,40119
France,Commercial,Earth Observation,44495
France,Commercial,Earth Observation,46941
France,Commercial,Earth Observation,46943
France,Commercial,Earth Observation,49066
France,Commercial,Earth Observation,52422
France,Commercial,Earth Observation,52174
France,Commercial,Earth Observation,55011
France,Commercial,Earth Observation,56185
United Kingdom,Commercial,Technology Development,56179
Japan,Commercial,Communications,32019
Japan,Commercial,Communications,37207
Japan,Commercial,Communications,37776
Japan,Commercial,Communications,42951
Japan,Commercial,Communications,46112
Australia,Military/Civil,Technology Development,43014
China,Government,Earth Observation,44312
China,Government,Earth Observation,44314
Argentina,Commercial,Technology Development,40014
Bulgaria,Commercial,Communications,42801
USA,Government/Civil,Technology Development,47320
France,Government,Earth Science,29108
Canada,Government/Civil,Technology Development,32790
Canada,Government/Civil,Technology Development,40055
Canada,Government/Civil,Technology Development,40056
Canada,Government/Civil,Technology Development,41788
USA,Civil,Technology Development,47309
USA,Commercial,Earth Observation,55910
USA,Commercial,Earth Observation,48605
USA,Commercial,Earth Observation,51072
USA,Commercial,Earth Observation,51071
USA,Commercial,Earth Observation,55909
India,Government,Earth Observation,28649
India,Government,Earth Observation,29710
India,Military,Earth Observation,32783
India,Government,Earth Observation,36795
India,Government,Earth Observation,41599
India,Government,Earth Observation,41948
India,Government,Earth Observation,42767
India,Government,Earth Observation,43111
India,Government,Earth Observation,44804
South Korea,Government,Earth Observation,47932
Canada,Government,Earth Science,39265
USA,Military,Communications,43339
USA,Military,Communications,55263
China/Brazil,Government,Earth Observation,40336
China/Brazil,Government,Earth Observation ,44883
United Kingdom,Commercial,Technology Development,40718
United Kingdom,Commercial,Technology Development,43115
Japan,Commercial,Technology Development,42769
Japan,Commercial,Technology Demonstration,46818
USA,Military,Technology Development,41850
Australia,Commercial,Communications,43809
Australia,Commercial,Technology Development,43722
China,Commercial,Technology Development,43636
USA,Government,Space Science,43853
France,Military,Earth Observation,49464
France,Military,Earth Observation,49465
France,Military,Earth Observation,49466
USA,Military,Technology Development,49261
USA,Military,Technology Development,49262
China/France,Government,Earth Observation,43662
Tunisia,Commercial,Technology Development,47956
USA,Government,Space Science,25867
China,Commercial,Technology Development,43669
China,Government,Earth Observation ,41899
China,Commercial,Earth Observation,51843
China,Government,Space Science,49315
USA,Military,Technology Demonstration,56168
USA,Military,Technology Demonstration,56167
USA,Military,Technology Demonstration,56169
USA,Military,Technology Demonstration,56164
USA,Military,Technology Demonstration,56163
USA,Military,Technology Demonstration,56165
USA,Military,Technology Demonstration,56166
USA,Military,Technology Demonstration,56162
ESA,Government,Space Science,44874
Argentina,Commercial,Technology Demonstration,55090
USA,Government/Civil,Technology Development,43855
China,Government,Communications,28058
China,Government,Earth Observation,33434
China,Government,Earth Observation,37930
China,Government,Earth Observation,40137
China,Government,Technology Development,53586
China,Government,Technology Development,53876
China,Government,Technology Development,39209
USA,Commercial,Earth Observation,43690
USA,Commercial,Earth Observation,42848
USA,Commercial,Earth Observation,52741
USA,Commercial,Earth Observation,52735
USA,Commercial,Earth Observation,42849
USA,Commercial,Earth Observation,42793
USA,Commercial,Earth Observation,43143
USA,Commercial,Earth Observation,43737
Canada,Commercial,Communications,33453
USA,Civil,Space Science,38764
USA,Civil,Space Science,56188
USA,Commercial/Civil,Technology Development,45121
USA,Military,Communications,40208
USA,Government/Civil,Earth Observation,29107
India,Government,Communications,47256
USA,Military,Communications,48875
USA,Military,Communications,48874
Germany,Government/Civil,Technology Development,42777
South Korea,Government,Earth Observation/Communications,36744
Germany,Military,Communications,35943
Germany,Military,Communications,36582
Turkey,Commercial,Communications,55012
Turkey,Commercial,Earth Observation,56210
